ID,VideoTitle,Name,Sex,Academic Status,Age,VideoID,IsNativeSpeaker
0,3D printed Fabric: Techniques for Design and 3D Weaving Programmable Textiles,Haruki Takahashi,Male,PhD,Young,z07keSZOkO8,Asian Non-Native
1,Question in 3D printed Fabric Techniques,,Female,,,,Native Speaker
2,Question in 3D printed Fabric Techniques,,Female,,,,Native Speaker
3,A 3D Printer Head as a Robotic Manipulator,Shohei Katakura,Male,Grad Student,Young,xNOvZbEyRAc,Asian Non-Native
4,Question in 3D Printer Head as Robotic Manipulator,,Male,,,,Native Speaker
5,Accurate and Low-Latency Sensing of Touch Contact on Any Surface,Yizheng Gu,Male,Grad Student,Young,xsN4XRrcftU,Asian Non-Native
6,Question in Accurate and Low Latency Sensing of Touch Contact on Any Surface,,Male,,,,Asian Non-Native
7,Question in Accurate and Low Latency Sensing of Touch Contact on Any Surface,Daniel Vogel,Male,PhD,Intermediate,,Native Speaker
8,Question in Accurate and Low Latency Sensing of Touch Contact on Any Surface,,Male,,,,Native Speaker
9,Question in Accurate and Low Latency Sensing of Touch Contact on Any Surface,,Male,,,,Asian Non-Native
10,Aero-Plane: Handheld Force-Feedback Device that Renders weight Motion,Seungwoo Je,Male,Grad Student,Young,ZlaXB0N3JFU,Asian Non-Native
11,Aero-Plane: Handheld Force-Feedback Device that Renders weight Motion,Myung Jim Kim,Male,Grad Student,Young,,-
12,Question in Aero-Plane,Sean Follmer,Male,PhD,Young,,Native Speaker
13,Question in Aero-Plane,,Male,,,,Native Speaker
14,Bespoke: Interactively Synthesizing Custom GUIs from Command-Line Applications,Priyan Vaithilingam,Male,Grad Student,Young,ceXqyyAzXIE,Asian Non-Native
15,Question in Bespoke,,Male,,,,Asian Non-Native
16,Question in Bespoke,,Male,,,,Europ. Non-Native
17,Question in Bespoke,,Male,,,,Native Speaker
18,Question in Bespoke,Michel Beaudouin-Lafon,Male,PhD,Old,,Europ. Non-Native
19,Bodystorming Human-Robot Interactions,David Porfirio,Male,Grad Student,Young,bxrN6dW5lH8,Native Speaker
20,Question in Bodystorming Human-Robot Interactions,,Male,,Old,,Native Speaker
21,BubBowl: Display Vessel Using Electrolysis Bubbles in Drinkable Beverages,Ayaka Ishii,Female,Grad Student,Young,Lrkl8XP9BSQ,Asian Non-Native
22,Question in BubBowl,,Female,,,,Native Speaker
23,Question in BubBowl,,Male,,,,Native Speaker
24,CapstanCrunch: A Haptic VR Controller,Mike Sinclair,Male,PhD,Old,fyVofcglIFE,Native Speaker
25,Question in CapstanCrunch,,Male,,,,Native Speaker
26,Question in CapstanCrunch,,Male,,,,Native Speaker
27,Question in CapstanCrunch,,Male,,,,Asian Non-Native
28,CAVRN: An Exploration and Evaluation of Collective Audience VR Nexus Experience,Sebastian Herscher,Male,Grad Student,Young,B9nytffmgWI,Native Speaker
29,Question in CAVRN,,Male,,,,Asian Non-Native
30,Question in CAVRN,Daniel Leithinger,Male,PhD,Intermediate,,Europ. Non-Native
31,CircuitStyle: A System for Peripherally Reinforcing Best Pracitces in HW Computing,Josh Urban Davis,Male,Grad Student,Young,MqhK5Bo0ljI,Native Speaker
32,Question in CircuitStyle,,Female,,,,Native Speaker
33,Question in CircuitStyle,,Female,,,,Native Speaker
34,Question in CircuitStyle,David (Ledo?),Male,Grad Student,Young,,Native Speaker
35,Context-Aware Online Adaptation of Mixed Reality Interfaces,David Lindlbauer,Male,PhD,Young,SammTUw96Mg,Europ. Non-Native
36,Question in Context-Aware Online Adaptation,,Male,,,,Native Speaker
37,Question in Context-Aware Online Adaptation,,Male,,,,Native Speaker
38,Designing AR Visualizations to Facilitate Stair Navigation for People with Low Vision,Yuhang Zhao,Female,Grad Student,Young,r5ul6gzak3A,Asian Non-Native
39,Question in Stair Navigation,,Male,,,,Native Speaker
40,Question in Stair Navigation,,Male,,,,Asian Non-Native
41,Question in Stair Navigation,,Female,,,,Native Speaker
42,DreamWalker: Substituting Real-World Walking Experiences with a VR,Jackie Yang,Male,Grad Student,Young,B9887Q4BCAo,Asian Non-Native
43,Question in DreamWalker,,Male,,,,Asian Non-Native
44,Question in DreamWalker,,Male,,,,Asian Non-Native
